wavelength_nm,measured_norm,nist_synth_norm
224.62097200,1.15344319e-02,7.18078292e-02
224.63693200,1.00104772e-02,8.52670294e-02
224.65289300,1.00104772e-02,9.95290522e-02
224.66885400,6.92446900e-03,1.14404003e-01
224.68479900,4.68616059e-03,1.29650770e-01
224.70076000,5.76245357e-03,1.45042575e-01
224.71672100,5.84817602e-03,1.60280840e-01
224.73268100,8.19125631e-04,1.75062638e-01
224.74864200,4.40041909e-03,1.89077735e-01
224.76460300,6.47680731e-03,2.02012835e-01
224.78056300,3.36222497e-03,2.13566048e-01
224.79652400,8.47699781e-04,2.23461815e-01
224.81246900,7.18163635e-03,2.31454270e-01
224.82843000,5.63863225e-03,2.37376422e-01
224.84439100,6.15296695e-03,2.41107416e-01
224.86035200,7.97218783e-03,2.42622242e-01
224.87631200,6.32441185e-03,2.41995441e-01
224.89227300,5.83865130e-03,2.39408361e-01
224.90823400,5.47671207e-03,2.35149727e-01
224.92419400,3.47652157e-03,2.29607240e-01
224.94015500,4.43851795e-03,2.23247275e-01
224.95610000,2.83836556e-03,2.16594913e-01
224.97204600,3.39079912e-03,2.10174094e-01
224.98800700,6.31488713e-03,2.04482025e-01
225.00396700,8.09600914e-03,1.99954980e-01
225.01992800,4.39089437e-03,1.96907661e-01
225.03588900,7.38165540e-03,1.95508003e-01
225.05184900,7.11496333e-03,1.95755249e-01
225.06781000,3.08600819e-03,1.97475606e-01
225.08375500,4.38136965e-04,2.00331414e-01
225.09971600,4.27659777e-03,2.03863406e-01
225.11567700,3.26697781e-03,2.07516877e-01
225.13163800,4.02895514e-03,2.10706729e-01
225.14759800,5.52433565e-04,2.12873845e-01
225.16355900,2.99076102e-03,2.13542687e-01
225.17952000,4.14325174e-03,2.12369712e-01
225.19548000,5.81007715e-03,2.09180524e-01
225.21144100,5.50528622e-03,2.03988343e-01
225.22737100,7.36260596e-03,1.97011563e-01
225.24333200,3.00028574e-03,1.88598329e-01
225.25929300,3.40984856e-03,1.79277121e-01
225.27525300,2.51452519e-03,1.69662065e-01
225.29121400,7.49595200e-03,1.60411636e-01
225.30717500,1.01438232e-02,1.52179594e-01
225.32313500,8.56272026e-03,1.45562859e-01
225.33909600,4.14325174e-03,1.41057076e-01
225.35504200,4.90522907e-03,1.39025690e-01
225.37100200,4.82903134e-03,1.39669663e-01
225.38696300,3.06695876e-03,1.43028570e-01
225.40290800,7.86741594e-03,1.48962905e-01
225.41886900,6.52443090e-03,1.57194407e-01
225.43483000,6.39108487e-03,1.67290073e-01
225.45079000,3.23840366e-03,1.78711005e-01
225.46675100,2.12401181e-03,1.90845009e-01
225.48271200,4.96237737e-03,2.03040742e-01
225.49865700,6.38156015e-03,2.14639706e-01
225.51461800,7.17211163e-03,2.25061084e-01
225.53057900,8.03886084e-03,2.33766843e-01
225.54652400,6.45775788e-03,2.40333763e-01
225.56248500,3.65749119e-03,2.44486439e-01
225.57844500,7.75311934e-03,2.46067785e-01
225.59440600,8.44842366e-03,2.45067633e-01
225.61036700,9.03895609e-03,2.41603215e-01
225.62631200,4.92427850e-03,2.35906162e-01
225.64227300,6.82922183e-03,2.28270238e-01
225.65823400,5.83865130e-03,2.19055767e-01
225.67417900,1.43823221e-03,2.08649136e-01
225.69014000,5.15287170e-03,1.97396809e-01
