wavelength_nm,strength
224.66827400,6.64000000e+08
224.69131800,8.00000000e+07
224.76837000,2.39200000e+09
224.79305900,4.80000000e+08
224.89183600,1.19000000e+09
224.90584000,1.62000000e+09
224.90593400,6.20000000e+08
224.91984000,1.04000000e+09
225.08765400,2.00000000e+08
225.18227400,5.28000000e+09
225.22690000,2.07000000e+07
225.37020000,1.10000000e+07
225.40725100,2.76000000e+08
225.41445300,1.60000000e+08
225.42021800,3.40000000e+08
225.51404200,8.00000000e+08
225.56344900,2.07600000e+09
225.56870600,2.31000000e+09
225.57658400,1.88000000e+08
225.58345400,1.60000000e+08
225.68909300,4.80000000e+08
225.70906500,7.50000000e+08
225.74080000,3.24000000e+07
225.75531000,2.46000000e+08
225.77823300,9.76000000e+08
225.85949700,1.90000000e+08
225.88648100,1.80000000e+08
225.92243300,1.44000000e+08
225.92340000,1.80000000e+08
225.95100600,6.22600000e+07
225.96247100,1.32000000e+08
226.05480000,1.54000000e+07
226.12062800,1.76000000e+08
226.18298400,2.80000000e+08
226.20580000,3.85000000e+08
226.32322600,2.96000000e+08
226.42090000,3.06000000e+08
226.44660000,2.38000000e+08
226.45901800,3.70000000e+08
226.67061500,3.60000000e+08
226.80374800,1.60000000e+08
226.84701900,5.20000000e+08
227.03706000,2.88000000e+08
227.11176600,1.48000000e+08
227.25440000,5.94000000e+08
227.39584100,4.44000000e+08
227.40632000,1.80000000e+08
227.41847000,2.16000000e+08
227.60256400,8.75000000e+07
227.60745100,4.14000000e+08
227.68770000,2.31000000e+07
227.69647100,2.10000000e+08
227.84350000,2.25000000e+07
227.97128500,8.88000000e+08
227.99146700,4.49000000e+07
228.06504400,1.18800000e+09
228.27669800,7.44000000e+08
228.35924100,5.00000000e+08
228.36997200,1.25000000e+09
228.39963400,8.80000000e+07
228.40853500,6.45000000e+07
228.48768400,4.32000000e+08
228.49740000,1.00000000e+07
228.70503200,3.40000000e+08
228.72494900,6.69000000e+07
228.78209300,4.40000000e+08
228.83568800,1.14800000e+09
228.86626500,1.87200000e+09
228.89666700,1.52000000e+08
229.18660000,2.50000000e+07
229.19987700,3.40000000e+08
229.28282600,4.00000000e+08
229.30740000,2.50000000e+08
229.46097600,1.12000000e+08
229.58698000,2.65000000e+08
229.60964800,4.80000000e+08
229.68912500,3.12000000e+08
229.77868700,1.00800000e+08
229.81688200,2.78100000e+08
229.82221900,6.80000000e+07
229.84467800,2.32000000e+08
229.97230600,2.52000000e+08
229.97528500,2.80000000e+08
230.03134000,1.80000000e+08
230.06248100,1.68000000e+08
230.15673900,2.10000000e+08
230.18988500,1.60000000e+08
230.28200000,5.60000000e+07
230.30070000,4.90000000e+07
