wavelength_nm,measured_norm,nist_synth_norm
224.62097200,5.87171816e-03,9.34829346e-14
224.63693200,1.36313457e-02,2.98168041e-13
224.65289300,1.76151545e-02,9.28116200e-13
224.66885400,3.09585140e-02,2.81918368e-12
224.68479900,5.13895333e-02,8.34748022e-12
224.70076000,5.55173352e-02,2.41458988e-11
224.71672100,5.04295794e-02,6.81565500e-11
224.73268100,4.47338528e-02,1.87723813e-10
224.74864200,5.14695295e-02,5.04582541e-10
224.76460300,5.87971777e-02,1.32347740e-09
224.78056300,5.73572469e-02,3.38723408e-09
224.79652400,5.42053981e-02,8.45994348e-09
224.81246900,5.10055517e-02,2.06002659e-08
224.82843000,5.42373966e-02,4.89930927e-08
224.84439100,5.72452522e-02,1.13699404e-07
224.86035200,5.26054749e-02,2.57478263e-07
224.87631200,5.33414396e-02,5.68929532e-07
224.89227300,4.83336800e-02,1.22674063e-06
224.90823400,2.78226645e-02,2.58106634e-06
224.92419400,2.05750124e-02,5.29878378e-06
224.94015500,3.04625378e-02,1.06150181e-05
224.95610000,3.44943443e-02,2.07359642e-05
224.97204600,2.84466346e-02,3.95284379e-05
224.98800700,2.28949010e-02,7.35707208e-05
225.00396700,1.62712190e-02,1.33605406e-04
225.01992800,1.01915108e-02,2.36754140e-04
225.03588900,1.51352735e-02,4.09362189e-04
225.05184900,6.07970817e-03,6.90620549e-04
225.06781000,3.40783642e-03,1.13689572e-03
225.08375500,7.93561909e-03,1.82530427e-03
225.09971600,1.08794778e-02,2.86085751e-03
225.11567700,2.61587444e-02,4.37514619e-03
225.13163800,3.38223765e-02,6.52868450e-03
225.14759800,3.76141945e-02,9.50578156e-03
225.16355900,2.58227605e-02,1.35052460e-02
225.17952000,1.35833480e-02,1.87224726e-02
225.19548000,1.30073756e-02,2.53260409e-02
225.21144100,7.08765979e-03,3.34301143e-02
225.22737100,1.05434939e-02,4.30399041e-02
225.24333200,1.23194087e-02,5.41009235e-02
225.25929300,2.12949778e-02,6.63630326e-02
225.27525300,1.16314417e-02,7.94412063e-02
225.29121400,1.21914148e-02,9.28090803e-02
225.30717500,6.19170280e-03,1.05821815e-01
225.32313500,0.00000000e+00,1.17766370e-01
225.33909600,1.02715070e-02,1.27927051e-01
225.35504200,4.79976961e-03,1.35646518e-01
225.37100200,2.46388173e-03,1.40425143e-01
225.38696300,3.39183719e-03,1.41934351e-01
225.40290800,7.16765595e-03,1.40086493e-01
225.41886900,1.15514455e-02,1.35025995e-01
225.43483000,9.85552693e-03,1.27121243e-01
225.45079000,1.45912996e-02,1.16917282e-01
225.46675100,1.60792282e-02,1.05071797e-01
225.48271200,1.85911076e-02,9.22897123e-02
225.49865700,1.31673680e-02,7.92667079e-02
225.51461800,3.93581108e-03,6.65812141e-02
225.53057900,7.88762139e-03,5.47345449e-02
225.54652400,1.45113035e-02,4.40880880e-02
225.56248500,2.24949202e-02,3.48330710e-02
225.57844500,2.54387789e-02,2.70683065e-02
225.59440600,2.59027567e-02,2.07766754e-02
225.61036700,1.60152313e-02,1.58663890e-02
225.62631200,1.53272643e-02,1.21988749e-02
225.64227300,1.77111499e-02,9.59913685e-03
225.65823400,1.90550854e-02,7.89545633e-03
225.67417900,2.18229525e-02,6.91637030e-03
225.69014000,2.08949970e-02,6.49869287e-03
225.70610000,2.72306929e-02,6.49625245e-03
225.72206100,2.96465770e-02,6.77625506e-03
225.73802200,4.55818121e-02,7.22048242e-03
225.75398300,7.45244228e-02,7.72528326e-03
225.76992800,7.46684159e-02,8.20179066e-03
225.78587300,5.83332000e-02,8.57880916e-03
225.80183400,4.04780571e-02,8.80286508e-03
225.81779500,2.99345631e-02,8.83924100e-03
225.83375500,4.21579764e-02,8.67365341e-03
225.84971600,4.81416892e-02,8.31090803e-03
225.86567700,3.44143481e-02,7.77259686e-03
225.88163800,3.35183911e-02,7.09331948e-03
225.89756800,3.22224533e-02,6.31754165e-03
225.91352800,3.14544902e-02,5.48831465e-03
225.92948900,3.88781338e-02,4.65146024e-03
225.94545000,4.77097099e-02,3.84599684e-03
225.96141100,6.01091148e-02,3.10268469e-03
225.97737100,6.90846839e-02,2.44287375e-03
225.99331700,6.84447147e-02,1.87897049e-03
226.00927700,5.49093644e-02,1.41399336e-03
226.02523800,4.32779227e-02,1.04664883e-03
226.04118300,4.41898789e-02,7.72289550e-04
226.05714400,4.09580340e-02,5.85411747e-04
226.07309000,2.87026223e-02,4.84627177e-04
226.08905000,1.58232405e-02,4.74575019e-04
226.10501100,1.27993856e-02,5.70418052e-04
226.12097200,1.24154041e-02,8.01195394e-04
226.13693200,1.14074524e-02,1.21383782e-03
226.15287800,1.75511575e-02,1.87624635e-03
226.16882300,1.36633442e-02,2.88156562e-03
226.18478400,1.77751468e-02,4.35025188e-03
226.20074500,2.04790170e-02,6.42471992e-03
226.21670500,1.79991360e-02,9.26641127e-03
226.23265100,2.92945939e-02,1.30405854e-02
226.24861100,3.50703166e-02,1.79129793e-02
226.26457200,3.49583220e-02,2.40080845e-02
226.28053300,2.58387597e-02,3.13937010e-02
226.29649400,1.36313457e-02,4.00513663e-02
226.31242400,2.60307505e-02,4.98316933e-02
226.32838400,3.70862199e-02,6.05161130e-02
226.34434500,4.93096331e-02,7.17015754e-02
226.36030600,4.39818889e-02,8.28844256e-02
226.37626600,6.33409596e-02,9.34761356e-02
226.39221200,7.17725549e-02,1.02845358e-01
226.40817300,9.62353807e-02,1.10407657e-01
226.42413300,9.15316065e-02,1.15637655e-01
226.44007900,8.43959490e-02,1.18163589e-01
226.45602400,8.38359759e-02,1.17808101e-01
226.47198500,8.85717486e-02,1.14592789e-01
226.48794600,1.00187191e-01,1.08749225e-01
226.50390600,9.92592356e-02,1.00689592e-01
226.51985200,1.01723117e-01,9.09652926e-02
226.53581200,1.19322273e-01,8.01722775e-02
226.55177300,1.12474601e-01,6.89389594e-02
226.56773400,1.09770731e-01,5.78379094e-02
226.58366400,1.03339040e-01,4.73670815e-02
226.59962500,7.70523015e-02,3.78434798e-02
226.61558500,4.63817737e-02,2.95185774e-02
226.63154600,3.13584948e-02,2.25007239e-02
226.64749100,2.44948242e-02,1.68051199e-02
226.66345200,2.62707390e-02,1.23585363e-02
226.67941300,2.85746284e-02,9.06537991e-03
226.69537400,2.96465770e-02,6.81380362e-03
226.71128800,3.47983297e-02,5.51089127e-03
226.72724900,3.28624226e-02,5.09050633e-03
226.74321000,2.42868342e-02,5.54985695e-03
226.75917100,2.52147897e-02,6.93806622e-03
226.77511600,2.02070301e-02,9.35709452e-03
226.79107700,1.24954002e-02,1.29629469e-02
226.80703700,1.87990976e-02,1.79329527e-02
226.82298300,1.95670608e-02,2.44422268e-02
226.83894300,1.21754156e-02,3.26514135e-02
226.85488900,1.98550470e-02,4.26244170e-02
226.87085000,1.31193703e-02,5.43474877e-02
226.88679500,2.50387981e-02,6.76206227e-02
226.90275600,4.03500632e-02,8.21245141e-02
226.91871600,5.28454634e-02,9.73250394e-02
226.93466200,5.71972545e-02,1.12532160e-01
226.95062300,5.07655633e-02,1.26980616e-01
226.96658300,4.06700478e-02,1.39809968e-01
226.98252900,2.71826952e-02,1.50196171e-01
226.99847400,1.67671952e-02,1.57448897e-01
227.01443500,2.75186791e-02,1.61059776e-01
227.03039600,2.73906852e-02,1.60759005e-01
227.04634100,2.81906468e-02,1.56574519e-01
227.06230200,3.01425532e-02,1.48799485e-01
227.07826200,3.20624610e-02,1.37982772e-01
227.09420800,4.61257860e-02,1.24862814e-01
227.11016800,6.67967938e-02,1.10242738e-01
227.12611400,6.57408444e-02,9.49883549e-02
227.14205900,5.57093260e-02,7.98650064e-02
227.15802000,6.37889381e-02,6.55108405e-02
227.17398100,5.64452906e-02,5.24337015e-02
227.18992600,6.37249412e-02,4.09601494e-02
227.20588700,7.06526087e-02,3.12141115e-02
227.22184800,7.85242308e-02,2.32103202e-02
227.23779300,7.37084620e-02,1.68460081e-02
227.25373800,6.92606755e-02,1.19309486e-02
227.26969900,6.43009136e-02,8.24230655e-03
227.28564500,7.18045534e-02,5.55814189e-03
227.30160500,6.30689727e-02,3.65601901e-03
227.31756600,7.10845879e-02,2.34650965e-03
227.33351100,7.16285618e-02,1.47030066e-03
227.34947200,7.36924628e-02,8.98683758e-04
227.36543300,7.32284850e-02,5.36320909e-04
227.38137800,8.34039966e-02,3.13215980e-04
227.39732400,8.34039966e-02,1.80032187e-04
227.41328400,7.60603491e-02,1.04087456e-04
227.42923000,7.15485657e-02,6.50127167e-05
227.44519000,6.35969473e-02,5.13546134e-05
227.46115100,8.63318561e-02,5.90149670e-05
227.47709700,9.38834936e-02,9.03218291e-05
227.49305700,8.59318753e-02,1.54649056e-04
227.50900300,6.37249412e-02,2.69760657e-04
227.52494800,5.79652177e-02,4.64914300e-04
227.54090900,5.85411900e-02,7.85039349e-04
227.55685400,4.80616930e-02,1.29423570e-03
227.57281500,2.95345823e-02,2.08394258e-03
227.58877600,1.60632290e-02,3.27497123e-03
227.60472100,1.29113803e-02,5.02084347e-03
227.62068200,1.29273795e-02,7.51553823e-03
227.63661200,1.03835016e-02,1.09712277e-02
227.65257300,1.10714686e-02,1.56423188e-02
227.66851800,2.52307889e-02,2.17585112e-02
227.68446400,3.56462890e-02,2.95397656e-02
227.70042400,4.23819657e-02,3.91496672e-02
227.71638500,3.84141561e-02,5.06381369e-02
227.73233000,4.80456938e-02,6.39075049e-02
227.74829100,4.25899557e-02,7.87323745e-02
227.76423600,2.62707390e-02,9.46456233e-02
227.78019700,1.50072797e-02,1.11059027e-01
227.79614300,1.21274179e-02,1.27167886e-01
227.81208800,5.66372814e-03,1.42114646e-01
227.82804900,2.28149049e-02,1.55015302e-01
227.84399400,2.26869110e-02,1.65009519e-01
227.85995500,3.86381454e-02,1.71433848e-01
227.87590000,3.99180839e-02,1.73821720e-01
227.89186100,3.92461162e-02,1.72005947e-01
227.90782200,4.35819081e-02,1.66112953e-01
227.92376700,4.66057629e-02,1.56572410e-01
227.93971300,5.68292722e-02,1.44034386e-01
227.95565800,4.37898981e-02,1.29318571e-01
227.97161900,2.68787098e-02,1.13301214e-01
227.98756400,1.59832328e-02,9.68952115e-02
228.00352500,1.83351199e-02,8.08588989e-02
228.01948500,2.75506776e-02,6.58536524e-02
228.03543100,2.60947475e-02,5.23535300e-02
228.05139200,3.15664848e-02,4.06110240e-02
228.06732200,3.91341216e-02,3.07615040e-02
228.08328200,4.84296754e-02,2.27287683e-02
228.09922800,6.75167592e-02,1.63943960e-02
228.11518900,8.35959874e-02,1.15373801e-02
228.13114900,1.04250996e-01,7.92411207e-03
228.14709500,1.03563029e-01,5.31342573e-03
228.16305500,1.08042814e-01,3.47599015e-03
228.17900100,1.04538982e-01,2.22024142e-03
228.19494600,1.08938771e-01,1.38435345e-03
228.21087600,1.05418940e-01,8.43325601e-04
228.22683700,1.03883014e-01,5.01933372e-04
228.24278300,1.18618306e-01,2.93809702e-04
228.25874300,1.26329936e-01,1.71970644e-04
228.27468900,1.11322657e-01,1.06405227e-04
228.29064900,7.27325088e-02,7.91963257e-05
228.30661000,6.41889189e-02,8.23984600e-05
