wavelength_nm,strength
225.35722000,1.33000000e+08
225.38480000,1.18800000e+09
225.48000000,8.64000000e+07
225.81509000,8.50000000e+07
226.44610000,1.14400000e+09
227.02120000,1.56000000e+09
227.87700000,1.68000000e+09
228.70810000,1.12000000e+09
228.73246000,9.00000000e+07
228.99836000,1.47000000e+09
229.31193000,1.90000000e+08
229.65500000,1.58400000e+09
229.71410000,1.08000000e+09
229.74890000,6.00000000e+08
229.82670000,1.68000000e+09
230.07776000,5.25000000e+08
230.29451000,1.35000000e+08
230.29920000,1.74000000e+09
230.73579000,1.12000000e+08
231.23437000,3.85000000e+09
231.39827000,2.50000000e+09
231.60360000,2.30400000e+09
231.71645000,1.90000000e+09
232.00341000,7.59000000e+09
232.13831000,3.92000000e+09
232.46550000,1.62000000e+08
232.58012000,3.15000000e+09
232.64510000,1.32000000e+08
232.99705000,1.59000000e+09
233.45860000,6.40000000e+08
234.55432000,1.54000000e+09
234.66307000,2.75000000e+08
234.75142000,1.98000000e+08
234.87357000,1.54000000e+08
235.64030000,1.68000000e+08
236.73840000,5.92000000e+07
237.54200000,5.28000000e+08
238.77630000,1.27200000e+08
239.45230000,1.70000000e+09
241.30390000,3.32000000e+07
241.61350000,1.68000000e+09
241.93128000,1.00000000e+08
243.35550000,4.38000000e+07
243.78890000,5.40000000e+08
251.08740000,5.80000000e+08
254.58990000,1.24800000e+08
259.66000000,1.00000000e+01
